family,subgroup,n_rows_pooled_test,n_complexes,pooled_test_rmse,pooled_test_mae,pooled_test_r,pooled_test_r2
full baseline,antibody_antigen,1464,366,2.061941727405504,1.6389858423035002,0.29018995606630354,-0.011586818122796494
full baseline,other,3864,966,2.5364499727592507,1.9553434262611358,0.41756950810646876,0.11588192452756074
full baseline,tcr_pmhc,420,105,1.79329597552714,1.409936453047253,0.4094336151452375,-0.05973093364502291
full vae semi S,antibody_antigen,2196,366,2.1096099667694457,1.6688506940193581,0.22847768392415443,-0.058899452210702696
full vae semi S,other,5796,966,2.6099432683545216,2.0227387528039924,0.3740633734399073,0.06390526575995603
full vae semi S,tcr_pmhc,630,105,1.7918762176199545,1.41230991647624,0.4358951011381175,-0.058053613436717555
full vae semi SD,antibody_antigen,6588,366,2.187852804095948,1.7188834229233654,0.21427468987156256,-0.13890260468344673
full vae semi SD,other,17388,966,2.6254415998483345,2.0241218775739167,0.37549329401670845,0.05275484574198963
full vae semi SD,tcr_pmhc,1890,105,2.0474372511606758,1.5697715710236801,0.4014989191367712,-0.38137904967036196
full vae unsup S,antibody_antigen,2196,366,2.2424882883365016,1.807882816630447,0.10346468550414015,-0.19649462940275586
full vae unsup S,other,5796,966,2.6716741673737237,2.101902304632063,0.15385391540513088,0.01910019059835999
full vae unsup S,tcr_pmhc,630,105,3.095287641795484,2.784854720132604,0.06170525554664317,-2.157138915263902
full vae unsup SD,antibody_antigen,6588,366,2.2980648844395404,1.8593471875163716,0.07106305317259448,-0.2565360689635072
full vae unsup SD,other,17388,966,2.6994268010973332,2.125070514005206,0.08078599093852515,-0.0013843009234335568
full vae unsup SD,tcr_pmhc,1890,105,3.180251601955058,2.8729265579301955,0.11183712329905399,-2.3328412208088953
interface baseline,antibody_antigen,1464,366,2.359562323913808,1.8798633781287188,0.08965807468510849,-0.3246870552387331
interface baseline,other,3864,966,2.6839618972780226,2.080514424644395,0.3011573813301348,0.010056610662262488
interface baseline,tcr_pmhc,420,105,2.3771969540386415,1.9506118025098529,0.3700517887066945,-0.8621814414489612
interface vae semi S,antibody_antigen,2196,366,2.330097709073034,1.852758742158614,0.09021530476827364,-0.29181002997033856
interface vae semi S,other,5796,966,2.7190889391958093,2.110348306388515,0.2957240238054935,-0.016025233781760573
interface vae semi S,tcr_pmhc,630,105,2.537561405805721,2.0380921341741374,0.26624639429517255,-1.1218993744825547
interface vae semi SD,antibody_antigen,6588,366,2.3867927521155834,1.8921833368088519,0.09751006017986497,-0.35543846865871354
interface vae semi SD,other,17388,966,2.7749652865646968,2.158085892464771,0.2763379299384404,-0.05821223133639397
interface vae semi SD,tcr_pmhc,1890,105,2.5379354984587366,2.09122051163053,0.24085097668570168,-1.1225250503582114
interface vae unsup S,antibody_antigen,2196,366,2.324374363560465,1.8803451667760271,-0.02183796533604895,-0.2854717593223126
interface vae unsup S,other,5796,966,2.6820637584524225,2.1137589483802697,0.11201841680537353,0.01145632169239108
interface vae unsup S,tcr_pmhc,630,105,3.2543980872055345,2.964482864519648,0.013323451100883085,-2.4900609852763926
interface vae unsup SD,antibody_antigen,6588,366,2.3282408068698475,1.881915452827631,0.007702715747408777,-0.28975191106040943
interface vae unsup SD,other,17388,966,2.7037004415189054,2.127108623217931,0.03492717307368287,-0.004557525734035783
interface vae unsup SD,tcr_pmhc,1890,105,3.2341322510238197,2.9517656152302054,0.18094144211698798,-2.446729604204442
