tag,model_family,family,subgroup,n_rows_pooled_test,n_complexes,pooled_test_rmse,pooled_test_mae,pooled_test_r,pooled_test_r2,mean_outer_test_rmse,std_outer_test_rmse,mean_outer_test_mae,std_outer_test_mae,mean_outer_test_r,std_outer_test_r,mean_outer_test_r2,std_outer_test_r2
full_S_semi_shared_static_z32,vae_ridge,full vae semi S,antibody_antigen,732,366,2.1337981036612237,1.682301867594058,0.19267473846381614,-0.08332068605881937,2.1140689694118775,0.2737666493178335,1.6802718736612525,0.22290496972883142,0.2146216265279878,0.1554543129182587,-0.08772818000520445,0.18671160501493148
full_S_semi_shared_static_z32,vae_ridge,full vae semi S,other,1932,966,2.5842140418682114,1.9938837812800336,0.3940343033557529,0.08227062788543094,2.5802994500640404,0.18050178911803963,1.996367661669423,0.1605580476258021,0.39755974328086824,0.073885699230924,0.06965379450320244,0.11052058442574268
full_S_semi_shared_static_z32,vae_ridge,full vae semi S,tcr_pmhc,210,105,1.8787114470422053,1.4948653168739614,0.4061572024180217,-0.16308599686642777,1.8257490436331385,0.2753756376707848,1.465201392292408,0.22806949630627366,0.36064366329184944,0.19473340910454054,-0.3149913668563783,0.4766254050963201
full_base_S,supervised_baseline,full baseline,antibody_antigen,732,366,2.0483536225205192,1.6309861902330742,0.2920125289204329,0.0017018760498115348,2.040861829773017,0.23013383160956535,1.6375856918008918,0.20216412702036565,0.3251251976939291,0.0998911793126705,-0.008429741503427023,0.08735938697852318
full_base_S,supervised_baseline,full baseline,other,1932,966,2.5010109725504446,1.9376029948516909,0.4296612902167029,0.14041493368957203,2.498344148804771,0.13186030852743108,1.937950519994806,0.11147593830326559,0.43523635791669185,0.08265478049113013,0.12446938306069419,0.11837101686712763
full_base_S,supervised_baseline,full baseline,tcr_pmhc,210,105,1.663413652526301,1.3166405132838659,0.4663606672427,0.08821553751628441,1.6465339976565758,0.27932628477499427,1.3155190536883876,0.1762578521588168,0.43679535934923386,0.21676161694261173,-0.030171770290330902,0.2728284464205204
full_base_SD,supervised_baseline,full baseline,antibody_antigen,732,366,2.075440871607537,1.646985494373926,0.2888588899877872,-0.0248755122954043,2.0647708913732727,0.21429352968395557,1.6474204120363596,0.15132897575215187,0.3056730675088371,0.11447344842756049,-0.0446358122387663,0.2005046408614368
full_base_SD,supervised_baseline,full baseline,other,1932,966,2.57140059963497,1.9730838576705807,0.40655821907317635,0.09134891536554979,2.5689585656197496,0.16346461759303313,1.9744511161194218,0.15138563416450412,0.4164068603794219,0.05423191928690163,0.07723369102599732,0.10848644376073309
full_base_SD,supervised_baseline,full baseline,tcr_pmhc,210,105,1.9143865681394616,1.50323239281064,0.36131103388604524,-0.20767740480633035,1.8776405520666284,0.5061802875728985,1.516404522982239,0.38479774607494077,0.31983020322025235,0.37911620401209223,-0.43507054706452253,0.7624078008953786
iface_S_semi_shared_static_z8,vae_ridge,interface vae semi S,antibody_antigen,732,366,2.3564618004670748,1.8666989817153115,0.10093382370883136,-0.32120799919846577,2.350260868346866,0.20932819103382314,1.869351299789087,0.17524258491865097,0.10135337106881766,0.10858214234050012,-0.3517664066447431,0.2055008543726395
iface_S_semi_shared_static_z8,vae_ridge,interface vae semi S,other,1932,966,2.71075011515263,2.118009660421691,0.30342812826575016,-0.009802955441474248,2.7095848743235837,0.14696947322396225,2.1206862438412286,0.11037819969525785,0.30318376450295786,0.05599217722434133,-0.024417227259176742,0.08418268554379957
iface_S_semi_shared_static_z8,vae_ridge,interface vae semi S,tcr_pmhc,210,105,2.4443863577025318,1.9667614219965874,0.30812054101198316,-0.9689349422200744,2.428222982288802,0.44635132438056724,1.990941914829402,0.34938141850938415,0.2315128706999244,0.2775760568766899,-1.4454115446262867,1.3092663526319142
iface_base_S,supervised_baseline,interface baseline,antibody_antigen,732,366,2.3555941746602875,1.8730239907249076,0.08872166046455138,-0.3202352670071158,2.3505778073269594,0.21380055923939892,1.8776095390527705,0.19698587726991224,0.10667483389042565,0.1356388056829814,-0.3573250653568169,0.2397289107518517
iface_base_S,supervised_baseline,interface baseline,other,1932,966,2.675058246820726,2.077340867455208,0.3117802798555006,0.01661370088087799,2.6729890443033932,0.20014292102179532,2.08131395799949,0.15456538905379283,0.31839460452201285,0.07345293684488582,0.002938364396969928,0.11402854961094161
iface_base_S,supervised_baseline,interface baseline,tcr_pmhc,210,105,2.439942210382235,1.9990713777996245,0.3330028488258664,-0.961781995631515,2.3800646700954315,0.5224223447971107,1.9878311563457394,0.40994141886516305,0.2735683357410334,0.22655305249825072,-1.1759943414950664,0.6701035062624867
